created,name,quality
2020-01-01  8:00:00, Luftregulierventil, 68
2020-01-02  8:00:00, Träger, 78
2020-01-03  8:00:00, Wasserschneider, 79
2020-01-04  8:00:00, Benutzerkonsole, 79
2020-01-05  8:00:00, erweiterbar, 93
2020-01-06  8:00:00, Entkalker, 72
2020-01-07  8:00:00, Diagnosemodul, 43
2020-01-08  8:00:00, Schadstofffilter, 63
2020-01-09  8:00:00, Schutzkontaktsteckdose, 52
2020-01-10  8:00:00, Trommel, 53
2020-01-11  8:00:00, Mainboard, 86
2020-01-12  8:00:00, Vergaser, 37
2020-01-13  8:00:00, Lautsprecher, 70
2020-01-14  8:00:00, Wärmetauscher, 32
2020-01-15  8:00:00, Edelstahlinnenbehälter, 32
2020-01-16  8:00:00, Produktzähler, 68
2020-01-17  8:00:00, Lautsprecher, 78
2020-01-18  8:00:00, Festplatte, 80
2020-01-19  8:00:00, Kabel, 87
2020-01-20  8:00:00, Trommel, 55
2020-01-21  8:00:00, Duschsieb, 84
2020-01-22  8:00:00, Netzbetrieb, 39
2020-01-23  8:00:00, Luftregulierventil, 55
2020-01-24  8:00:00, Schadstofffilter, 40
2020-01-25  8:00:00, Luftregulierventil, 80
2020-01-26  8:00:00, Zahnrad, 93
2020-01-27  8:00:00, Wasserwaage, 91
2020-01-28  8:00:00, Kreiselpumpen, 50
2020-01-29  8:00:00, Lärmdämmung, 76
2020-01-30  8:00:00, Arbeitsfläche, 57
2020-01-31  8:00:00, Wasserschneider, 92
2020-02-01  8:00:00, Motor, 91
2020-02-02  8:00:00, Edelstahlinnenbehälter, 91
2020-02-03  8:00:00, Festplatte, 30
2020-02-04  8:00:00, Wasserschneider, 55
2020-02-05  8:00:00, Drucksensor, 51
2020-02-06  8:00:00, Lärmdämmung, 78
2020-02-07  8:00:00, Motor, 44
2020-02-08  8:00:00, Lichtsschranke, 90
2020-02-09  8:00:00, Powerknopf, 51
2020-02-10  8:00:00, Not-Ausschalter, 74
2020-02-11  8:00:00, Niedrigdruckresistent, 77
2020-02-12  8:00:00, Schaltschrank, 81
2020-02-13  8:00:00, Niedrigdruckresistent, 87
2020-02-14  8:00:00, Displayport, 56
2020-02-15  8:00:00, Laser, 72
2020-02-16  8:00:00, Displayport, 31
2020-02-17  8:00:00, Duschsieb, 36
2020-02-18  8:00:00, Drucksensor, 35
2020-02-19  8:00:00, Feuermelder, 84
2020-02-20  8:00:00, Hochdruckresistent, 84
2020-02-21  8:00:00, Entkalker, 51
2020-02-22  8:00:00, Diagnosemodul, 53
2020-02-23  8:00:00, Not-Ausschalter, 81
2020-02-24  8:00:00, Akku, 76
2020-02-25  8:00:00, Warnsystem, 73
2020-02-26  8:00:00, Magnet, 93
2020-02-27  8:00:00, Wärmetauscher, 52
2020-02-28  8:00:00, Säge, 32
2020-03-01  8:00:00, Niedrigdruckresistent, 75
2020-03-02  8:00:00, Kugelumlaufspindel, 86
2020-03-03  8:00:00, Greifarm, 52
2020-03-04  8:00:00, Lärmdämmung, 40
2020-03-05  8:00:00, Feuermelder, 43
2020-03-06  8:00:00, Wasserschneider, 34
2020-03-07  8:00:00, Pneumatische Steuerung, 52
2020-03-08  8:00:00, Kreiselverdichter, 74
2020-03-09  8:00:00, Luftregulierventil, 99
2020-03-10  8:00:00, Kippablage, 64
2020-03-11  8:00:00, Motor, 41
2020-03-12  8:00:00, Luftregulierventil, 43
2020-03-13  8:00:00, Schaltschrank, 51
2020-03-14  8:00:00, Grafikkarte, 73
2020-03-15  8:00:00, Produktzähler, 74
2020-03-16  8:00:00, Säge, 70
2020-03-17  8:00:00, Hochdruckresistent, 52
2020-03-18  8:00:00, Display, 88
2020-03-19  8:00:00, Luftregulierventil, 95
2020-03-20  8:00:00, Hochdruckresistent, 63
2020-03-21  8:00:00, Genertor, 82
2020-03-22  8:00:00, Kontrollleuchten, 94
2020-03-23  8:00:00, Beleuchtung, 70
2020-03-24  8:00:00, Greifarm, 45
2020-03-25  8:00:00, Kontrollleuchten, 36
2020-03-26  8:00:00, Erdung, 97
2020-03-27  8:00:00, Lichtsensor, 90
2020-03-28  8:00:00, Dynamo, 47
2020-03-29  8:00:00, Zahnrad, 74
2020-03-30  8:00:00, USB-Anschluss, 85
2020-03-31  8:00:00, Kontrollleuchten, 72
2020-04-01  8:00:00, Sortierer, 49
2020-04-02  8:00:00, Entkalker, 79
2020-04-03  8:00:00, Bewegunssensor, 65
2020-04-04  8:00:00, Touchscreen, 48
2020-04-05  8:00:00, Kugelumlaufspindel, 50
2020-04-06  8:00:00, Timer, 58
2020-04-07  8:00:00, Kreiselpumpen, 88
2020-04-08  8:00:00, Motor, 67
2020-04-09  8:00:00, Uhr, 46
2020-04-10  8:00:00, Drucksensor, 80
2020-04-11  8:00:00, Drehmechanismus, 75
2020-04-12  8:00:00, Hochdruckresistent, 91
2020-04-13  8:00:00, Feuermelder, 39
2020-04-14  8:00:00, Touchscreen, 75
2020-04-15  8:00:00, Schadstofffilter, 62
2020-04-16  8:00:00, Edelstahlinnenbehälter, 77
2020-04-17  8:00:00, Erdung, 64
2020-04-18  8:00:00, Lichtsschranke, 85
2020-04-19  8:00:00, Warnsystem, 99
2020-04-20  8:00:00, Fingerablage, 35
2020-04-21  8:00:00, Greifarm, 72
2020-04-22  8:00:00, Drucksensor, 89
2020-04-23  8:00:00, Überladeschutz, 70
2020-04-24  8:00:00, Sortierer, 62
2020-04-25  8:00:00, Vergaser, 62
2020-04-26  8:00:00, Vergaser, 52
2020-04-27  8:00:00, Akku, 71
2020-04-28  8:00:00, Akku, 46
2020-04-29  8:00:00, Display, 38
2020-04-30  8:00:00, Grafikkarte, 38
2020-05-01  8:00:00, Warnsystem, 54
2020-05-02  8:00:00, Erdung, 59
2020-05-03  8:00:00, Drehmechanismus, 30
2020-05-04  8:00:00, Kugelumlaufspindel, 63
2020-05-05  8:00:00, Vergaser, 88
2020-05-06  8:00:00, Benutzerkonsole, 63
2020-05-07  8:00:00, Schaltschrank, 57
2020-05-08  8:00:00, interner Speicher, 79
2020-05-09  8:00:00, Entkalker, 43
2020-05-10  8:00:00, Magnet, 85
2020-05-11  8:00:00, Wasserwaage, 79
2020-05-12  8:00:00, Genertor, 88
2020-05-13  8:00:00, Kippablage, 35
2020-05-14  8:00:00, Hochdruckresistent, 31
2020-05-15  8:00:00, Schaltschrank, 46
2020-05-16  8:00:00, Wasseranschluss, 66
2020-05-17  8:00:00, Mainboard, 51
2020-05-18  8:00:00, Zahnrad, 69
2020-05-19  8:00:00, Uhr, 52
2020-05-20  8:00:00, Benutzerkonsole, 48
2020-05-21  8:00:00, Arbeitsfläche, 77
2020-05-22  8:00:00, Kabel, 84
2020-05-23  8:00:00, Bewegunssensor, 63
2020-05-24  8:00:00, Laser, 99
2020-05-25  8:00:00, Feuermelder, 45
2020-05-26  8:00:00, Kabel, 99
2020-05-27  8:00:00, Niedrigdruckresistent, 74
2020-05-28  8:00:00, Greifarm, 93
2020-05-29  8:00:00, Lautsprecher, 95
2020-05-30  8:00:00, Zahnrad, 74
2020-05-31  8:00:00, Kabel, 79
2020-06-01  8:00:00, Dynamo, 73
2020-06-02  8:00:00, Fingerablage, 35
2020-06-03  8:00:00, Magnet, 49
2020-06-04  8:00:00, Ventilator, 36
2020-06-05  8:00:00, Zahnrad, 64
2020-06-06  8:00:00, Displayport, 99
2020-06-07  8:00:00, Drucker, 61
2020-06-08  8:00:00, Bewegunssensor, 82
2020-06-09  8:00:00, Schadstofffilter, 63
2020-06-10  8:00:00, Lautsprecher, 75
2020-06-11  8:00:00, Powerknopf, 66
2020-06-12  8:00:00, Drucksensor, 67
2020-06-13  8:00:00, Fußschalter, 75
2020-06-14  8:00:00, Überladeschutz, 87
2020-06-15  8:00:00, Spule, 65
2020-06-16  8:00:00, Bewegunssensor, 78
2020-06-17  8:00:00, Not-Ausschalter, 41
2020-06-18  8:00:00, Blasgerät, 60
2020-06-19  8:00:00, Kippablage, 47
2020-06-20  8:00:00, Niedrigdruckresistent, 52
2020-06-21  8:00:00, Luftregulierventil, 55
2020-06-22  8:00:00, Schaltschrank, 95
2020-06-23  8:00:00, Drehmechanismus, 91
2020-06-24  8:00:00, Genertor, 39
2020-06-25  8:00:00, interner Speicher, 38
2020-06-26  8:00:00, Lupe, 88
2020-06-27  8:00:00, interner Speicher, 84
2020-06-28  8:00:00, Display, 50
2020-06-29  8:00:00, Akku, 93
2020-06-30  8:00:00, Magnet, 56
2020-07-01  8:00:00, Festplatte, 58
2020-07-02  8:00:00, Greifarm, 73
2020-07-03  8:00:00, Display, 69
2020-07-04  8:00:00, Diagnosemodul, 85
2020-07-05  8:00:00, Greifarm, 73
2020-07-06  8:00:00, Genertor, 93
2020-07-07  8:00:00, Motor, 42
2020-07-08  8:00:00, Luftregulierventil, 79
2020-07-09  8:00:00, Display, 67
2020-07-10  8:00:00, Grafikkarte, 34
2020-07-11  8:00:00, Wasseranschluss, 64
2020-07-12  8:00:00, Produktzähler, 62
2020-07-13  8:00:00, Duschsieb, 70
2020-07-14  8:00:00, Kreiselverdichter, 78
2020-07-15  8:00:00, Drehmechanismus, 49
2020-07-16  8:00:00, Diagnosemodul, 59
2020-07-17  8:00:00, Benutzerkonsole, 38
2020-07-18  8:00:00, Benutzerkonsole, 46
2020-07-19  8:00:00, Kippablage, 84
2020-07-20  8:00:00, Fließband, 54
2020-07-21  8:00:00, Powerknopf, 30
2020-07-22  8:00:00, Träger, 99
2020-07-23  8:00:00, Kontrollleuchten, 89
2020-07-24  8:00:00, Drehmechanismus, 73
2020-07-25  8:00:00, Drucker, 50
2020-07-26  8:00:00, Grafikkarte, 77
2020-07-27  8:00:00, Wasserwaage, 51
2020-07-28  8:00:00, Greifarm, 50
2020-07-29  8:00:00, Niedrigdruckresistent, 38
2020-07-30  8:00:00, Powerknopf, 52
2020-07-31  8:00:00, Grafikkarte, 68
2020-08-01  8:00:00, Ventilator, 34
2020-08-02  8:00:00, Zahnrad, 49
2020-08-03  8:00:00, Feuermelder, 96
2020-08-04  8:00:00, erweiterbar, 84
2020-08-05  8:00:00, Wasseranschluss, 95
2020-08-06  8:00:00, Lupe, 66
2020-08-07  8:00:00, Uhr, 60
2020-08-08  8:00:00, Erdung, 69
2020-08-09  8:00:00, erweiterbar, 40
2020-08-10  8:00:00, Dynamo, 99
2020-08-11  8:00:00, Genertor, 66
2020-08-12  8:00:00, Lichtsensor, 84
2020-08-13  8:00:00, Sortierer, 35
2020-08-14  8:00:00, Timer, 64
2020-08-15  8:00:00, Kippablage, 46
2020-08-16  8:00:00, Fließband, 96
2020-08-17  8:00:00, Motor, 41
2020-08-18  8:00:00, Motor, 94
2020-08-19  8:00:00, Edelstahlinnenbehälter, 81
2020-08-20  8:00:00, Lichtsensor, 56
2020-08-21  8:00:00, Timer, 77
2020-08-22  8:00:00, Kreiselpumpen, 54
2020-08-23  8:00:00, Produktzähler, 67
2020-08-24  8:00:00, Fingerablage, 92
2020-08-25  8:00:00, Lichtsensor, 81
2020-08-26  8:00:00, Greifarm, 35
2020-08-27  8:00:00, Wasserschneider, 86
2020-08-28  8:00:00, Kippablage, 57
2020-08-29  8:00:00, Mainboard, 62
2020-08-30  8:00:00, Kontrollleuchten, 35
2020-08-31  8:00:00, Wasserschneider, 33
2020-09-01  8:00:00, Schadstofffilter, 30
2020-09-02  8:00:00, Magnet, 77
2020-09-03  8:00:00, Magnet, 50
2020-09-04  8:00:00, Lautsprecher, 69
2020-09-05  8:00:00, Uhr, 96
2020-09-06  8:00:00, Lichtsschranke, 48
2020-09-07  8:00:00, Kreiselverdichter, 32
2020-09-08  8:00:00, Feuermelder, 78
2020-09-09  8:00:00, Duschsieb, 34
2020-09-10  8:00:00, Lärmdämmung, 71
2020-09-11  8:00:00, Vergaser, 36
2020-09-12  8:00:00, Wasserschneider, 35
2020-09-13  8:00:00, Netzbetrieb, 63
2020-09-14  8:00:00, Spule, 54
2020-09-15  8:00:00, Kreiselverdichter, 73
2020-09-16  8:00:00, interner Speicher, 91
2020-09-17  8:00:00, Trommel, 92
2020-09-18  8:00:00, Säge, 82
2020-09-19  8:00:00, Uhr, 58
2020-09-20  8:00:00, Niedrigdruckresistent, 44
2020-09-21  8:00:00, Timer, 92
2020-09-22  8:00:00, Kippablage, 97
2020-09-23  8:00:00, Powerknopf, 65
2020-09-24  8:00:00, Zahnrad, 54
2020-09-25  8:00:00, Timer, 35
2020-09-26  8:00:00, Sortierer, 34
2020-09-27  8:00:00, Akku, 92
2020-09-28  8:00:00, Ventilator, 63
2020-09-29  8:00:00, Säge, 70
2020-09-30  8:00:00, Timer, 41
2020-10-01  8:00:00, Fußschalter, 68
2020-10-02  8:00:00, Träger, 39
2020-10-03  8:00:00, Schaltschrank, 59
2020-10-04  8:00:00, Feuermelder, 43
2020-10-05  8:00:00, Entkalker, 70
2020-10-06  8:00:00, Lichtsensor, 62
2020-10-07  8:00:00, Lichtsschranke, 35
2020-10-08  8:00:00, Laser, 93
2020-10-09  8:00:00, Warnsystem, 71
2020-10-10  8:00:00, Kippablage, 66
2020-10-11  8:00:00, USB-Anschluss, 84
2020-10-12  8:00:00, Drucksensor, 43
2020-10-13  8:00:00, Wasserschneider, 71
2020-10-14  8:00:00, Feuermelder, 96
2020-10-15  8:00:00, Lärmdämmung, 72
2020-10-16  8:00:00, Blasgerät, 99
2020-10-17  8:00:00, Wasserwaage, 82
2020-10-18  8:00:00, Zahnrad, 72
2020-10-19  8:00:00, Luftregulierventil, 49
2020-10-20  8:00:00, Blasgerät, 34
2020-10-21  8:00:00, Akku, 79
2020-10-22  8:00:00, Lautsprecher, 63
2020-10-23  8:00:00, Kabel, 48
2020-10-24  8:00:00, Erdung, 63
2020-10-25  8:00:00, Touchscreen, 55
2020-10-26  8:00:00, Lärmdämmung, 84
2020-10-27  8:00:00, Kontrollleuchten, 74
2020-10-28  8:00:00, Kabel, 78
2020-10-29  8:00:00, Überladeschutz, 54
2020-10-30  8:00:00, Zahnrad, 68
2020-10-31  8:00:00, Lichtsensor, 86
2020-11-01  8:00:00, Blasgerät, 45
2020-11-02  8:00:00, Not-Ausschalter, 68
2020-11-03  8:00:00, Feuermelder, 47
2020-11-04  8:00:00, Laser, 72
2020-11-05  8:00:00, Bewegunssensor, 47
2020-11-06  8:00:00, Lärmdämmung, 38
2020-11-07  8:00:00, Benutzerkonsole, 46
2020-11-08  8:00:00, Hochdruckresistent, 71
2020-11-09  8:00:00, Not-Ausschalter, 52
2020-11-10  8:00:00, Drucker, 43
2020-11-11  8:00:00, Säge, 88
2020-11-12  8:00:00, Trommel, 71
2020-11-13  8:00:00, Niedrigdruckresistent, 50
2020-11-14  8:00:00, Lichtsensor, 78
2020-11-15  8:00:00, Not-Ausschalter, 56
2020-11-16  8:00:00, Greifarm, 45
2020-11-17  8:00:00, Genertor, 53
2020-11-18  8:00:00, Netzbetrieb, 43
2020-11-19  8:00:00, Kippablage, 85
2020-11-20  8:00:00, Wasserschneider, 47
2020-11-21  8:00:00, Wasserwaage, 59
2020-11-22  8:00:00, Schadstofffilter, 46
2020-11-23  8:00:00, Träger, 46
2020-11-24  8:00:00, Spule, 72
2020-11-25  8:00:00, Träger, 72
2020-11-26  8:00:00, Ventilator, 93
2020-11-27  8:00:00, Festplatte, 71
2020-11-28  8:00:00, Drehmechanismus, 96
2020-11-29  8:00:00, Lupe, 52
2020-11-30  8:00:00, Diagnosemodul, 79
2020-12-01  8:00:00, Display, 60
2020-12-02  8:00:00, Waage, 53
2020-12-03  8:00:00, Laser, 65
2020-12-04  8:00:00, Akku, 43
2020-12-05  8:00:00, Arbeitsfläche, 99
2020-12-06  8:00:00, Motor, 94
2020-12-07  8:00:00, Festplatte, 54
2020-12-08  8:00:00, Bewegunssensor, 77
2020-12-09  8:00:00, Luftregulierventil, 39
2020-12-10  8:00:00, Siebträger, 48
2020-12-11  8:00:00, Kugelumlaufspindel, 69
2020-12-12  8:00:00, Träger, 33
2020-12-13  8:00:00, Mainboard, 74
2020-12-14  8:00:00, Waage, 32
2020-12-15  8:00:00, Laser, 46
2020-12-16  8:00:00, Genertor, 45
2020-12-17  8:00:00, Erdung, 93
2020-12-18  8:00:00, Greifarm, 42
2020-12-19  8:00:00, Wasserschneider, 44
2020-12-20  8:00:00, Zahnrad, 43
2020-12-21  8:00:00, Wasserschneider, 43
2020-12-22  8:00:00, Waage, 92
2020-12-23  8:00:00, Benutzerkonsole, 94
2020-12-24  8:00:00, Kugelumlaufspindel, 52
2020-12-25  8:00:00, Ventilator, 64
2020-12-26  8:00:00, Kreiselpumpen, 76
2020-12-27  8:00:00, Kugelumlaufspindel, 94
2020-12-28  8:00:00, Drehmechanismus, 68
2020-12-29  8:00:00, Netzbetrieb, 80
2020-12-30  8:00:00, Zahnrad, 60
2020-12-31  8:00:00, Fußschalter, 75
